var,coef,word frequency
bridge,-0.27033785,67
less,0.20339712,93
served,-0.139727416,38
semi,0.303086138,43
coastal,-0.108378964,57
delivers,0.789590668,76
excellent,-0.487215312,118
complex,0.708731453,109
science,-0.161169649,113
accessible,0.243141867,860
non,0.733637255,493
wrap,0.303384368,20
18,0.045957074,331
creates,-0.284852621,91
collaborations,0.246968377,145
uniting,-0.09746214,16
"communities
",-0.804631932,60
empowers,-0.711782559,18
women,-0.271100912,867
global,0.027214678,331
majority,0.331534437,183
themselves,-0.747295081,158
represented,0.518728595,195
"programme
",0.859968692,25
6,-0.046373566,933
"theatre
",0.473768407,37
q&a,0.40805023,114
comedy,-0.311790391,201
day,-0.358681219,912
assistant,0.32160675,54
professor,0.069887431,19
episode,0.150203731,45
yp,0.474842941,258
interviewing,-1.674575452,30
university,0.127360294,279
researchers,1.232994756,36
fun,0.035262144,130
panel,0.227339551,160
engagement;,-0.007157061,12
networking,-0.80813978,146
organised,-0.371186083,47
uni,-0.353557861,50
wishes,0.622634778,23
success,0.188308091,254
recent,-0.016271441,131
streamed,-0.031804296,198
commissions,0.335521112,216
special,0.381281497,126
pre,-0.404660557,192
recorded,-0.478569987,250
items,0.158770695,24
attracted,-0.408321601,14
over,0.057745324,1081
views,0.252818347,37
linked,0.0662419,65
campaign,0.222543485,130
assisted,-0.159584491,13
survive,-0.895425921,13
safe,-0.561501116,213
event,0.260855625,1085
accompanied,0.406519853,109
smaller,-0.232476093,51
attracting,-0.455061547,43
10k,0.200299109,12
1500,-0.935493503,18
gave,-0.205843411,14
evidence,0.105568849,38
enrich,-0.573099058,32
participation,-0.280341441,442
innovation,-0.140288868,55
following,-0.675864169,451
seeking,-0.264424421,108
phase,0.093995424,332
25%,0.386522054,12
commission,-0.208309745,347
promoters,0.117136511,92
establish,0.144346061,182
detail,0.742823951,17
2023,-0.272539858,739
structure,0.397733287,121
planting,-0.528143622,13
communities,-0.2075387,1712
cumbria,0.155342885,50
tower,-0.076417008,47
hamlets,0.609125268,28
surrey,-0.336367178,18
kirklees,0.499371939,34
learnings,-0.605052173,21
draft,0.654626753,112
planning,0.500295455,131
studies,0.204577787,37
manchester,-0.971423028,282
literature,0.201326809,165
exeter,0.095047436,86
write,-0.209409813,269
british,-0.247974799,402
literary,-0.183746732,143
translation,-1.133523633,43
publish,0.013683389,75
translated,0.291656789,20
english,0.087391497,174
continue,0.05768147,291
authors,0.626716074,108
providing,0.061067561,373
editorial,0.232927354,22
published,1.054515966,113
paid,-0.425483556,249
goals,-0.222800464,30
up’,-0.965829172,12
rate,-0.461052903,13
recruiting,0.285266793,18
marketing,-0.012081599,389
running,-0.039956186,136
launch,0.164896932,285
encourage,-0.324989259,339
everyone,0.959552525,139
tell,-0.011022926,188
sculpture,-0.202916199,145
soundtrack,1.093203494,44
tours,-0.096317193,126
enter,-0.371653584,48
artwork,0.343594295,293
reaches,-0.104352995,28
physical,0.124985856,413
emotion,0.134650559,13
team’s,1.048285269,12
proven,-0.020347955,37
expertise,-0.080514885,74
teaching,0.105272926,98
collaborating,-0.352895229,150
educational,-0.107987361,209
ages,0.088536797,259
abilities,-0.379155135,69
project’s,0.228452275,46
something,0.657670126,95
happens,-0.681802062,29
rather,0.224987607,52
than,0.15498403,181
collaborate,0.518431932,300
norway,0.396563122,12
culture,0.065567814,690
surrounding,-0.214573761,100
devise,0.129129284,126
original,-0.753173637,465
puppet,-0.340510356,94
title,0.217469163,34
little,0.339145908,130
8,0.204867419,470
recycled,-0.463515528,46
wood,-0.55713176,33
textiles,0.85857544,36
fuse,0.086869675,16
puppetry,-0.198677383,146
soundscapes,0.482311929,27
clowning,0.67426314,31
heart,0.21843045,179
importance,0.269337931,94
trees,0.318569849,29
inspire,-0.112424477,319
go,-0.211677935,140
outside,0.49796979,186
look,-0.438347153,125
imagination,-0.541706274,60
imaginary,-0.4891878,13
worlds,0.415685552,62
performed,0.533814574,439
inside,0.192563424,64
libraries,0.353901959,247
drop,1.016996932,52
pilot,0.521126774,381
native,-0.687781946,11
selected,0.295583512,224
starting,0.83835265,82
blocks,-1.310054168,20
cpt,-0.139135786,50
kind,-0.296909349,90
marks,0.157559814,38
writing,-0.113834788,915
credit,0.581316683,11
"to
",0.02938763,58
south,0.054887632,447
asian,1.410714737,214
identity,0.507872948,330
disciplinary,0.064460154,67
combining,-0.481223603,116
"music
",0.085274967,23
invited,0.347635811,314
gaining,-0.147860295,30
professionals,0.220490715,381
further,0.295917229,609
"development
",0.06852894,40
aims,0.10675828,433
many,0.648725815,368
wip,-0.348622273,88
approached,-0.300828417,29
marie,-0.222875848,12
gold,-0.807099129,14
services,0.355886664,79
personalised,0.202040913,15
specifically,-0.046724922,132
designed,-0.010493037,304
aged,0.432468319,363
16,-0.106861889,308
